,dates,Т
418,2016-02-11 18:00:00,-12.0
419,2016-02-11 21:00:00,-12.2
420,2016-02-12 00:00:00,-13.7
421,2016-02-12 03:00:00,-13.0
424,2016-02-12 06:00:00,-11.9
425,2016-02-12 09:00:00,-11.2
426,2016-02-12 12:00:00,-10.6
427,2016-02-12 15:00:00,-10.2
428,2016-02-12 18:00:00,-9.8
429,2016-02-12 21:00:00,-10.4
430,2016-02-13 00:00:00,-12.2
431,2016-02-13 03:00:00,-11.4
434,2016-02-13 06:00:00,-9.2
435,2016-02-13 09:00:00,-7.3
436,2016-02-13 12:00:00,-8.0
437,2016-02-13 15:00:00,-8.4
438,2016-02-13 18:00:00,-13.0
439,2016-02-13 21:00:00,-12.2
440,2016-02-14 00:00:00,-12.9
441,2016-02-14 03:00:00,-13.5
444,2016-02-14 06:00:00,-8.6
445,2016-02-14 09:00:00,-6.9
446,2016-02-14 12:00:00,-9.5
447,2016-02-14 15:00:00,-11.3
448,2016-02-14 18:00:00,-15.0
449,2016-02-14 21:00:00,-15.2
450,2016-02-15 00:00:00,-17.3
451,2016-02-15 03:00:00,-18.8
454,2016-02-15 06:00:00,-14.4
455,2016-02-15 09:00:00,-11.4
456,2016-02-15 12:00:00,-14.4
457,2016-02-15 15:00:00,-16.0
458,2016-02-15 18:00:00,-16.4
459,2016-02-15 21:00:00,-15.8
460,2016-02-16 00:00:00,-17.1
461,2016-02-16 03:00:00,-17.7
464,2016-02-16 06:00:00,-15.1
465,2016-02-16 09:00:00,-11.7
466,2016-02-16 12:00:00,-11.4
467,2016-02-16 15:00:00,-14.6
468,2016-02-16 18:00:00,-17.7
469,2016-02-16 21:00:00,-19.2
470,2016-02-17 00:00:00,-20.3
471,2016-02-17 03:00:00,-20.1
474,2016-02-17 06:00:00,-15.2
475,2016-02-17 09:00:00,-13.1
476,2016-02-17 12:00:00,-12.9
477,2016-02-17 15:00:00,-12.9
478,2016-02-17 18:00:00,-13.4
479,2016-02-17 21:00:00,-13.6
480,2016-02-18 00:00:00,-13.8
481,2016-02-18 03:00:00,-14.1
484,2016-02-18 06:00:00,-10.8
485,2016-02-18 09:00:00,-7.1
486,2016-02-18 12:00:00,-8.7
487,2016-02-18 15:00:00,-10.3
488,2016-02-18 18:00:00,-9.7
489,2016-02-18 21:00:00,-11.9
490,2016-02-19 00:00:00,-12.9
491,2016-02-19 03:00:00,-13.5
494,2016-02-19 06:00:00,-9.6
495,2016-02-19 09:00:00,-1.9
496,2016-02-19 12:00:00,-6.3
497,2016-02-19 15:00:00,-9.9
498,2016-02-19 18:00:00,-10.4
499,2016-02-19 21:00:00,-12.2
500,2016-02-20 00:00:00,-12.3
501,2016-02-20 03:00:00,-11.1
504,2016-02-20 06:00:00,-4.2
505,2016-02-20 09:00:00,-2.0
506,2016-02-20 12:00:00,-5.7
507,2016-02-20 15:00:00,-9.6
508,2016-02-20 18:00:00,-12.2
509,2016-02-20 21:00:00,-9.9
510,2016-02-21 00:00:00,-11.0
511,2016-02-21 03:00:00,-8.7
514,2016-02-21 06:00:00,-3.9
515,2016-02-21 09:00:00,-2.3
516,2016-02-21 12:00:00,-3.8
517,2016-02-21 15:00:00,-7.0
518,2016-02-21 18:00:00,-8.0
519,2016-02-21 21:00:00,-9.7
520,2016-02-22 00:00:00,-10.9
521,2016-02-22 03:00:00,-10.3
524,2016-02-22 06:00:00,-6.9
525,2016-02-22 09:00:00,-3.3
526,2016-02-22 12:00:00,-4.5
527,2016-02-22 15:00:00,-8.7
528,2016-02-22 18:00:00,-9.5
529,2016-02-22 21:00:00,-11.4
530,2016-02-23 00:00:00,-11.4
531,2016-02-23 03:00:00,-11.1
534,2016-02-23 06:00:00,-5.8
535,2016-02-23 09:00:00,-3.5
536,2016-02-23 12:00:00,-2.8
537,2016-02-23 15:00:00,-2.7
538,2016-02-23 18:00:00,-1.8
539,2016-02-23 21:00:00,-1.1
540,2016-02-24 00:00:00,-0.8
541,2016-02-24 03:00:00,-1.8
544,2016-02-24 06:00:00,-0.6
545,2016-02-24 09:00:00,0.8
546,2016-02-24 12:00:00,0.4
547,2016-02-24 15:00:00,-0.3
548,2016-02-24 18:00:00,-0.5
549,2016-02-24 21:00:00,-0.8
550,2016-02-25 00:00:00,-2.4
551,2016-02-25 03:00:00,-2.3
554,2016-02-25 06:00:00,1.9
555,2016-02-25 09:00:00,5.2
556,2016-02-25 12:00:00,3.8
557,2016-02-25 15:00:00,2.9
558,2016-02-25 18:00:00,2.0
559,2016-02-25 21:00:00,2.4
560,2016-02-26 00:00:00,1.4
561,2016-02-26 03:00:00,2.5
565,2016-02-26 06:00:00,6.8
566,2016-02-26 09:00:00,7.8
567,2016-02-26 12:00:00,6.7
568,2016-02-26 15:00:00,3.5
569,2016-02-26 18:00:00,2.4
570,2016-02-26 21:00:00,2.3
571,2016-02-27 00:00:00,1.5
572,2016-02-27 03:00:00,1.4
576,2016-02-27 06:00:00,0.9
577,2016-02-27 09:00:00,1.1
578,2016-02-27 12:00:00,0.3
579,2016-02-27 15:00:00,-0.2
580,2016-02-27 18:00:00,-2.1
581,2016-02-27 21:00:00,-3.1
582,2016-02-28 00:00:00,-4.0
583,2016-02-28 03:00:00,-3.9
587,2016-02-28 06:00:00,-1.9
588,2016-02-28 09:00:00,-0.2
589,2016-02-28 12:00:00,0.0
590,2016-02-28 15:00:00,-1.2
591,2016-02-28 18:00:00,-1.2
592,2016-02-28 21:00:00,-2.1
593,2016-02-29 00:00:00,-3.1
594,2016-02-29 03:00:00,-3.0
598,2016-02-29 06:00:00,-2.5
599,2016-02-29 09:00:00,-3.1
600,2016-02-29 12:00:00,-2.1
601,2016-02-29 15:00:00,-2.1
602,2016-02-29 18:00:00,-2.4
603,2016-02-29 21:00:00,-1.6
604,2016-03-01 00:00:00,-2.1
605,2016-03-01 03:00:00,-3.1
609,2016-03-01 06:00:00,-3.3
610,2016-03-01 09:00:00,-3.2
611,2016-03-01 12:00:00,-3.6
612,2016-03-01 15:00:00,-4.3
613,2016-03-01 18:00:00,-3.9
614,2016-03-01 21:00:00,-3.3
615,2016-03-02 00:00:00,-3.7
616,2016-03-02 03:00:00,-5.4
619,2016-03-02 06:00:00,-5.2
620,2016-03-02 09:00:00,-4.7
621,2016-03-02 12:00:00,-5.6
622,2016-03-02 15:00:00,-7.7
623,2016-03-02 18:00:00,-10.3
624,2016-03-02 21:00:00,-11.9
625,2016-03-03 00:00:00,-13.3
626,2016-03-03 03:00:00,-14.1
629,2016-03-03 06:00:00,-9.9
630,2016-03-03 09:00:00,-6.2
631,2016-03-03 12:00:00,-5.5
632,2016-03-03 15:00:00,-5.2
633,2016-03-03 18:00:00,-5.3
634,2016-03-03 21:00:00,-5.5
635,2016-03-04 00:00:00,-5.8
636,2016-03-04 03:00:00,-5.8
637,2016-03-04 06:00:00,-3.3
638,2016-03-04 09:00:00,-1.1
639,2016-03-04 12:00:00,-1.0
640,2016-03-04 15:00:00,-3.5
641,2016-03-04 18:00:00,-4.7
642,2016-03-04 21:00:00,-6.6
643,2016-03-05 00:00:00,-6.2
644,2016-03-05 03:00:00,-5.9
648,2016-03-05 06:00:00,0.1
649,2016-03-05 09:00:00,-0.1
650,2016-03-05 12:00:00,-0.6
651,2016-03-05 15:00:00,-0.8
652,2016-03-05 18:00:00,-1.0
653,2016-03-05 21:00:00,-1.8
654,2016-03-06 00:00:00,-3.1
655,2016-03-06 03:00:00,-4.2
659,2016-03-06 06:00:00,-2.2
660,2016-03-06 09:00:00,-0.8
661,2016-03-06 12:00:00,-0.5
662,2016-03-06 15:00:00,-1.6
663,2016-03-06 18:00:00,-3.1
664,2016-03-06 21:00:00,-4.0
665,2016-03-07 00:00:00,-5.0
666,2016-03-07 03:00:00,-4.6
